Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.2
2014-01-03,1,4,3,-0.1
2014-01-04,1,0,0,0.0
2014-01-07,0,1,2,-0.225
2014-01-08,1,9,1,-0.45
2014-01-09,2,3,0,-0.325
2014-01-10,2,1,2,-0.35000000000000003
2014-01-11,0,1,1,-0.4750000000000001
2014-01-13,0,0,1,-0.5750000000000001
2014-01-14,0,1,2,-0.8000000000000002
2014-01-15,2,5,1,-0.8250000000000001
2014-01-16,3,4,1,-0.725
2014-01-17,4,0,1,-0.42499999999999993
2014-01-18,1,3,2,-0.5999999999999999
2014-01-20,0,3,1,-0.7749999999999999
2014-01-21,2,6,1,-0.825
2014-01-22,0,3,1,-1.0
2014-01-23,2,2,1,-0.9500000000000001
2014-01-24,2,2,0,-0.8
2014-01-25,2,1,1,-0.7250000000000001
2014-01-27,0,1,0,-0.7500000000000001
2014-01-28,1,1,2,-0.8750000000000001
2014-01-29,1,6,1,-1.0250000000000001
2014-01-30,1,3,0,-1.0000000000000002
2014-01-31,2,6,3,-1.2500000000000004
2014-02-01,2,4,0,-1.1500000000000006
2014-02-03,0,2,0,-1.2000000000000006
2014-02-04,3,1,1,-1.0250000000000006
2014-02-05,2,2,0,-0.8750000000000007
2014-02-06,0,2,2,-1.1250000000000007
2014-02-07,4,1,2,-0.9500000000000007
2014-02-08,0,3,1,-1.1250000000000007
2014-02-11,1,2,1,-1.1750000000000007
2014-02-12,1,1,1,-1.2000000000000006
2014-02-13,0,2,0,-1.2500000000000007
2014-02-14,2,0,1,-1.1500000000000008
2014-02-15,1,2,1,-1.2000000000000008
2014-02-18,0,1,1,-1.3250000000000008
2014-02-19,0,3,1,-1.5000000000000009
2014-02-20,1,2,1,-1.550000000000001
2014-02-21,1,5,1,-1.675000000000001
2014-02-22,2,2,1,-1.625000000000001
2014-02-25,1,2,2,-1.775000000000001
2014-02-26,1,2,1,-1.825000000000001
2014-02-27,2,0,2,-1.825000000000001
2014-02-28,0,3,2,-2.1000000000000014
2014-03-01,2,1,2,-2.1250000000000013
2014-03-04,1,3,0,-2.1000000000000014
2014-03-05,0,2,1,-2.2500000000000013
2014-03-06,0,1,0,-2.2750000000000012
2014-03-07,2,6,2,-2.425000000000001
2014-03-08,0,4,2,-2.7250000000000014
2014-03-10,1,0,0,-2.6250000000000013
2014-03-11,0,3,0,-2.7000000000000015
2014-03-12,0,2,2,-2.9500000000000015
2014-03-13,1,4,2,-3.1500000000000017
2014-03-14,1,4,0,-3.1500000000000017
2014-03-15,2,0,0,-2.9500000000000015
2014-03-18,2,0,2,-2.9500000000000015
2014-03-19,1,2,2,-3.1000000000000014
2014-03-20,0,2,1,-3.2500000000000013
2014-03-21,3,4,2,-3.2500000000000013
2014-03-22,3,3,1,-3.1250000000000013
2014-03-24,0,1,0,-3.1500000000000012
2014-03-25,1,5,0,-3.175000000000001
2014-03-26,3,3,2,-3.1500000000000012
2014-03-27,0,2,2,-3.4000000000000012
2014-03-28,2,4,3,-3.600000000000001
2014-03-29,0,2,0,-3.650000000000001
2014-03-31,0,2,0,-3.7000000000000006
2014-04-01,3,5,0,-3.5250000000000004
2014-04-02,1,3,0,-3.5000000000000004
2014-04-03,0,3,0,-3.5750000000000006
2014-04-04,2,0,1,-3.4750000000000005
2014-04-05,0,2,1,-3.6250000000000004
2014-04-08,1,0,0,-3.5250000000000004
2014-04-09,2,2,0,-3.375
2014-04-10,0,6,0,-3.525
2014-04-11,2,0,1,-3.425
2014-04-12,1,1,0,-3.3499999999999996
2014-04-14,1,2,0,-3.2999999999999994
2014-04-15,1,3,0,-3.2749999999999995
2014-04-16,3,3,0,-3.05
2014-04-17,1,1,1,-3.0749999999999997
2014-04-18,1,3,1,-3.15
2014-04-19,0,4,0,-3.25
2014-04-22,1,2,1,-3.3
2014-04-23,1,2,1,-3.3499999999999996
2014-04-24,0,6,1,-3.5999999999999996
2014-04-25,0,3,1,-3.775
2014-04-26,0,6,1,-4.025
2014-04-29,0,2,1,-4.175
2014-04-30,1,6,1,-4.325
2014-05-01,3,1,0,-4.050000000000001
2014-05-02,2,2,0,-3.9000000000000004
2014-05-03,4,0,2,-3.7000000000000006
2014-05-05,0,3,0,-3.775000000000001
2014-05-06,1,3,1,-3.850000000000001
2014-05-07,0,2,0,-3.900000000000001
2014-05-08,3,5,1,-3.8250000000000006
2014-05-09,2,3,1,-3.8000000000000007
2014-05-10,1,3,0,-3.775000000000001
2014-05-13,2,1,2,-3.8000000000000007
2014-05-14,8,14,0,-3.350000000000001
2014-05-15,1,4,1,-3.450000000000001
2014-05-16,1,4,2,-3.6500000000000012
2014-05-17,0,2,3,-4.000000000000001
2014-05-20,2,1,1,-3.9250000000000007
2014-05-21,2,2,1,-3.8750000000000004
2014-05-22,2,3,0,-3.7500000000000004
2014-05-23,3,3,0,-3.5250000000000004
2014-05-24,0,3,1,-3.7000000000000006
2014-05-26,0,1,0,-3.7250000000000005
2014-05-27,0,4,0,-3.8250000000000006
2014-05-28,0,4,1,-4.025
2014-05-29,2,0,0,-3.825
2014-05-30,2,3,2,-3.9000000000000004
2014-05-31,2,4,2,-4.0
2014-06-02,0,2,0,-4.05
2014-06-03,1,3,4,-4.425
2014-06-04,1,1,2,-4.550000000000001
2014-06-05,1,1,0,-4.475000000000001
2014-06-06,1,3,2,-4.650000000000002
2014-06-07,1,0,1,-4.650000000000002
2014-06-09,0,2,0,-4.700000000000002
2014-06-10,0,1,2,-4.9250000000000025
2014-06-11,1,3,0,-4.900000000000003
2014-06-12,1,4,0,-4.900000000000003
2014-06-13,3,2,1,-4.750000000000003
2014-06-14,2,2,1,-4.700000000000002
2014-06-16,0,1,0,-4.725000000000002
2014-06-17,2,2,1,-4.675000000000002
2014-06-18,5,7,1,-4.450000000000001
2014-06-19,0,5,1,-4.675000000000001
2014-06-20,2,5,0,-4.6000000000000005
2014-06-21,0,1,0,-4.625000000000001
2014-06-23,0,0,1,-4.7250000000000005
2014-06-24,1,1,1,-4.750000000000001
2014-06-25,1,0,4,-5.050000000000002
2014-06-26,2,2,1,-5.000000000000001
2014-06-27,2,3,2,-5.075000000000001
2014-06-28,1,1,1,-5.100000000000001
2014-07-02,2,3,2,-5.175000000000002
2014-07-03,2,1,1,-5.100000000000001
2014-07-04,2,5,1,-5.125000000000001
2014-07-05,0,2,1,-5.275
2014-07-07,0,0,1,-5.375
2014-07-08,1,2,1,-5.425
2014-07-09,2,2,2,-5.475
2014-07-10,1,4,0,-5.475
2014-07-11,1,2,2,-5.625
2014-07-12,0,1,3,-5.95
2014-07-15,3,1,1,-5.775
2014-07-16,2,4,3,-5.975
2014-07-17,0,2,2,-6.225
2014-07-18,2,1,1,-6.1499999999999995
2014-07-19,0,3,1,-6.324999999999999
2014-07-22,1,2,0,-6.2749999999999995
2014-07-23,1,1,0,-6.2
2014-07-24,0,1,1,-6.325
2014-07-25,2,1,0,-6.15
2014-07-26,2,1,2,-6.175000000000001
2014-07-28,0,2,0,-6.2250000000000005
2014-07-29,2,3,1,-6.2
2014-07-30,2,5,2,-6.325
2014-07-31,1,1,3,-6.550000000000001
2014-08-01,1,0,3,-6.750000000000001
2014-08-02,2,2,0,-6.6000000000000005
2014-08-06,0,4,0,-6.7
2014-08-07,1,3,0,-6.675000000000001
2014-08-08,2,2,3,-6.825
2014-08-09,1,4,0,-6.825
2014-08-11,0,0,1,-6.925
2014-08-12,1,0,0,-6.825
2014-08-13,2,0,0,-6.625
2014-08-14,3,2,1,-6.475
2014-08-15,1,4,2,-6.675
2014-08-16,1,4,0,-6.675
2014-08-18,1,0,0,-6.575
2014-08-19,1,2,0,-6.525
2014-08-20,1,0,0,-6.425000000000001
2014-08-21,2,1,0,-6.250000000000001
2014-08-22,1,2,2,-6.400000000000001
2014-08-23,1,1,2,-6.525000000000002
2014-08-25,0,1,0,-6.5500000000000025
2014-08-26,0,2,1,-6.700000000000002
2014-08-27,3,2,0,-6.450000000000002
2014-08-28,1,8,2,-6.750000000000003
2014-08-29,1,4,1,-6.850000000000002
2014-08-30,0,3,2,-7.125000000000003
2014-09-02,1,1,0,-7.050000000000003
2014-09-03,1,3,1,-7.1250000000000036
2014-09-04,1,3,1,-7.200000000000004
2014-09-05,1,4,0,-7.200000000000004
2014-09-06,2,5,1,-7.225000000000003
2014-09-08,0,1,0,-7.2500000000000036
2014-09-09,1,1,1,-7.275000000000004
2014-09-10,1,3,1,-7.350000000000004
2014-09-11,2,6,0,-7.300000000000004
2014-09-12,2,0,1,-7.200000000000004
2014-09-13,0,3,1,-7.3750000000000036
2014-09-16,0,4,0,-7.475000000000003
2014-09-17,2,4,0,-7.375000000000003
2014-09-18,1,2,1,-7.4250000000000025
2014-09-19,1,3,1,-7.500000000000003
2014-09-20,1,2,0,-7.450000000000003
2014-09-23,2,3,1,-7.4250000000000025
2014-09-24,2,3,1,-7.400000000000002
2014-09-25,0,5,1,-7.625000000000002
2014-09-26,0,1,1,-7.750000000000002
2014-09-27,3,4,1,-7.650000000000001
2014-09-29,0,1,1,-7.775000000000001
2014-09-30,1,1,0,-7.700000000000002
2014-10-01,0,3,3,-8.075000000000001
2014-10-02,0,3,0,-8.15
2014-10-03,1,2,1,-8.200000000000001
2014-10-04,0,4,0,-8.3
2014-10-06,1,1,0,-8.225000000000001
2014-10-07,1,1,1,-8.250000000000002
2014-10-08,1,1,2,-8.375000000000002
2014-10-09,0,3,0,-8.450000000000001
2014-10-10,2,4,2,-8.55
2014-10-11,1,3,1,-8.625
2014-10-14,1,2,0,-8.575000000000001
2014-10-15,1,3,3,-8.850000000000001
2014-10-16,1,2,0,-8.800000000000002
2014-10-17,2,3,1,-8.775000000000002
2014-10-18,2,3,5,-9.150000000000002
2014-10-20,0,1,1,-9.275000000000002
2014-10-21,2,1,2,-9.300000000000002
2014-10-22,0,6,2,-9.650000000000002
2014-10-23,4,2,1,-9.400000000000002
2014-10-24,1,5,2,-9.625000000000002
2014-10-25,1,1,2,-9.750000000000002
2014-10-27,0,2,1,-9.900000000000002
2014-10-28,1,1,0,-9.825000000000003
2014-10-29,0,5,4,-10.350000000000003
2014-10-30,0,2,1,-10.500000000000004
2014-10-31,1,2,0,-10.450000000000005
2014-11-01,1,3,0,-10.425000000000004
2014-11-03,0,1,0,-10.450000000000005
2014-11-04,2,2,0,-10.300000000000006
