Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.16
2014-01-03,1,4,3,-0.10000000000000003
2014-01-04,1,0,0,-2.7755575615628914e-17
2014-01-07,0,1,2,-0.21500000000000002
2014-01-08,1,9,1,-0.35000000000000003
2014-01-09,2,3,0,-0.19500000000000003
2014-01-10,2,1,2,-0.21000000000000002
2014-01-11,0,1,1,-0.32500000000000007
2014-01-13,0,0,1,-0.42500000000000004
2014-01-14,0,1,2,-0.64
2014-01-15,2,5,1,-0.615
2014-01-16,3,4,1,-0.4749999999999999
2014-01-17,4,0,1,-0.1749999999999999
2014-01-18,1,3,2,-0.3199999999999999
2014-01-20,0,3,1,-0.4649999999999999
2014-01-21,2,6,1,-0.4549999999999999
2014-01-22,0,3,1,-0.6
2014-01-23,2,2,1,-0.53
2014-01-24,2,2,0,-0.36
2014-01-25,2,1,1,-0.275
2014-01-27,0,1,0,-0.29000000000000004
2014-01-28,1,1,2,-0.405
2014-01-29,1,6,1,-0.49500000000000005
2014-01-30,1,3,0,-0.44
2014-01-31,2,6,3,-0.63
2014-02-01,2,4,0,-0.49
2014-02-03,0,2,0,-0.52
2014-02-04,3,1,1,-0.33499999999999996
2014-02-05,2,2,0,-0.16499999999999995
2014-02-06,0,2,2,-0.395
2014-02-07,4,1,2,-0.21000000000000002
2014-02-08,0,3,1,-0.35500000000000004
2014-02-11,1,2,1,-0.385
2014-02-12,1,1,1,-0.4
2014-02-13,0,2,0,-0.43000000000000005
2014-02-14,2,0,1,-0.33000000000000007
2014-02-15,1,2,1,-0.3600000000000001
2014-02-18,0,1,1,-0.4750000000000001
2014-02-19,0,3,1,-0.6200000000000001
2014-02-20,1,2,1,-0.6500000000000001
2014-02-21,1,5,1,-0.7250000000000001
2014-02-22,2,2,1,-0.6550000000000001
2014-02-25,1,2,2,-0.7850000000000001
2014-02-26,1,2,1,-0.8150000000000002
2014-02-27,2,0,2,-0.8150000000000002
2014-02-28,0,3,2,-1.06
2014-03-01,2,1,2,-1.075
2014-03-04,1,3,0,-1.02
2014-03-05,0,2,1,-1.1500000000000001
2014-03-06,0,1,0,-1.165
2014-03-07,2,6,2,-1.2550000000000001
2014-03-08,0,4,2,-1.5150000000000001
2014-03-10,1,0,0,-1.415
2014-03-11,0,3,0,-1.46
2014-03-12,0,2,2,-1.69
2014-03-13,1,4,2,-1.8499999999999999
2014-03-14,1,4,0,-1.8099999999999998
2014-03-15,2,0,0,-1.6099999999999999
2014-03-18,2,0,2,-1.6099999999999999
2014-03-19,1,2,2,-1.7399999999999998
2014-03-20,0,2,1,-1.8699999999999999
2014-03-21,3,4,2,-1.8299999999999998
2014-03-22,3,3,1,-1.6749999999999998
2014-03-24,0,1,0,-1.6899999999999997
2014-03-25,1,5,0,-1.6649999999999996
2014-03-26,3,3,2,-1.6099999999999994
2014-03-27,0,2,2,-1.8399999999999994
2014-03-28,2,4,3,-1.9999999999999996
2014-03-29,0,2,0,-2.0299999999999994
2014-03-31,0,2,0,-2.059999999999999
2014-04-01,3,5,0,-1.834999999999999
2014-04-02,1,3,0,-1.779999999999999
2014-04-03,0,3,0,-1.8249999999999988
2014-04-04,2,0,1,-1.724999999999999
2014-04-05,0,2,1,-1.854999999999999
2014-04-08,1,0,0,-1.754999999999999
2014-04-09,2,2,0,-1.584999999999999
2014-04-10,0,6,0,-1.6749999999999992
2014-04-11,2,0,1,-1.5749999999999993
2014-04-12,1,1,0,-1.489999999999999
2014-04-14,1,2,0,-1.419999999999999
2014-04-15,1,3,0,-1.3649999999999989
2014-04-16,3,3,0,-1.1099999999999988
2014-04-17,1,1,1,-1.1249999999999987
2014-04-18,1,3,1,-1.1699999999999986
2014-04-19,0,4,0,-1.2299999999999986
2014-04-22,1,2,1,-1.2599999999999987
2014-04-23,1,2,1,-1.2899999999999987
2014-04-24,0,6,1,-1.4799999999999989
2014-04-25,0,3,1,-1.624999999999999
2014-04-26,0,6,1,-1.814999999999999
2014-04-29,0,2,1,-1.9449999999999992
2014-04-30,1,6,1,-2.0349999999999993
2014-05-01,3,1,0,-1.7499999999999991
2014-05-02,2,2,0,-1.5799999999999992
2014-05-03,4,0,2,-1.3799999999999992
2014-05-05,0,3,0,-1.4249999999999992
2014-05-06,1,3,1,-1.469999999999999
2014-05-07,0,2,0,-1.4999999999999991
2014-05-08,3,5,1,-1.3749999999999991
2014-05-09,2,3,1,-1.3199999999999992
2014-05-10,1,3,0,-1.264999999999999
2014-05-13,2,1,2,-1.279999999999999
2014-05-14,8,14,0,-0.6899999999999988
2014-05-15,1,4,1,-0.7499999999999989
2014-05-16,1,4,2,-0.909999999999999
2014-05-17,0,2,3,-1.239999999999999
2014-05-20,2,1,1,-1.1549999999999991
2014-05-21,2,2,1,-1.0849999999999993
2014-05-22,2,3,0,-0.9299999999999994
2014-05-23,3,3,0,-0.6749999999999994
2014-05-24,0,3,1,-0.8199999999999994
2014-05-26,0,1,0,-0.8349999999999994
2014-05-27,0,4,0,-0.8949999999999994
2014-05-28,0,4,1,-1.0549999999999993
2014-05-29,2,0,0,-0.8549999999999993
2014-05-30,2,3,2,-0.8999999999999994
2014-05-31,2,4,2,-0.9599999999999993
2014-06-02,0,2,0,-0.9899999999999993
2014-06-03,1,3,4,-1.3349999999999993
2014-06-04,1,1,2,-1.449999999999999
2014-06-05,1,1,0,-1.3649999999999989
2014-06-06,1,3,2,-1.5099999999999987
2014-06-07,1,0,1,-1.5099999999999987
2014-06-09,0,2,0,-1.5399999999999987
2014-06-10,0,1,2,-1.7549999999999986
2014-06-11,1,3,0,-1.6999999999999984
2014-06-12,1,4,0,-1.6599999999999984
2014-06-13,3,2,1,-1.4899999999999984
2014-06-14,2,2,1,-1.4199999999999986
2014-06-16,0,1,0,-1.4349999999999985
2014-06-17,2,2,1,-1.3649999999999987
2014-06-18,5,7,1,-1.0699999999999987
2014-06-19,0,5,1,-1.2449999999999988
2014-06-20,2,5,0,-1.1199999999999988
2014-06-21,0,1,0,-1.1349999999999987
2014-06-23,0,0,1,-1.2349999999999988
2014-06-24,1,1,1,-1.2499999999999987
2014-06-25,1,0,4,-1.5499999999999985
2014-06-26,2,2,1,-1.4799999999999986
2014-06-27,2,3,2,-1.5249999999999986
2014-06-28,1,1,1,-1.5399999999999985
2014-07-02,2,3,2,-1.5849999999999984
2014-07-03,2,1,1,-1.4999999999999984
2014-07-04,2,5,1,-1.4749999999999985
2014-07-05,0,2,1,-1.6049999999999986
2014-07-07,0,0,1,-1.7049999999999987
2014-07-08,1,2,1,-1.7349999999999988
2014-07-09,2,2,2,-1.7649999999999988
2014-07-10,1,4,0,-1.7249999999999988
2014-07-11,1,2,2,-1.8549999999999986
2014-07-12,0,1,3,-2.1699999999999986
2014-07-15,3,1,1,-1.9849999999999985
2014-07-16,2,4,3,-2.1449999999999987
2014-07-17,0,2,2,-2.3749999999999987
2014-07-18,2,1,1,-2.2899999999999987
2014-07-19,0,3,1,-2.4349999999999987
2014-07-22,1,2,0,-2.3649999999999984
2014-07-23,1,1,0,-2.2799999999999985
