Date,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2014-01-02,1,4,0,0.30000000000000004
2014-01-03,1,4,3,0.3
2014-01-04,1,0,0,0.4
2014-01-07,0,1,2,0.25
2014-01-08,1,9,1,0.7
2014-01-09,2,3,0,1.0499999999999998
2014-01-10,2,1,2,1.0999999999999999
2014-01-11,0,1,1,1.0499999999999998
2014-01-13,0,0,1,0.9499999999999998
2014-01-14,0,1,2,0.7999999999999998
2014-01-15,2,5,1,1.15
2014-01-16,3,4,1,1.5499999999999998
2014-01-17,4,0,1,1.8499999999999996
2014-01-18,1,3,2,1.9
2014-01-20,0,3,1,1.9499999999999997
2014-01-21,2,6,1,2.3499999999999996
2014-01-22,0,3,1,2.3999999999999995
2014-01-23,2,2,1,2.5999999999999996
2014-01-24,2,2,0,2.9
2014-01-25,2,1,1,3.05
2014-01-27,0,1,0,3.0999999999999996
2014-01-28,1,1,2,3.0499999999999994
2014-01-29,1,6,1,3.3499999999999996
2014-01-30,1,3,0,3.5999999999999996
2014-01-31,2,6,3,3.8
2014-02-01,2,4,0,4.2
2014-02-03,0,2,0,4.3
2014-02-04,3,1,1,4.55
2014-02-05,2,2,0,4.85
2014-02-06,0,2,2,4.749999999999999
2014-02-07,4,1,2,4.999999999999999
2014-02-08,0,3,1,5.05
2014-02-11,1,2,1,5.1499999999999995
2014-02-12,1,1,1,5.199999999999999
2014-02-13,0,2,0,5.299999999999999
2014-02-14,2,0,1,5.3999999999999995
2014-02-15,1,2,1,5.499999999999999
2014-02-18,0,1,1,5.449999999999999
2014-02-19,0,3,1,5.5
2014-02-20,1,2,1,5.6
2014-02-21,1,5,1,5.85
2014-02-22,2,2,1,6.05
2014-02-25,1,2,2,6.049999999999999
2014-02-26,1,2,1,6.149999999999999
2014-02-27,2,0,2,6.149999999999999
2014-02-28,0,3,2,6.099999999999999
2014-03-01,2,1,2,6.149999999999999
2014-03-04,1,3,0,6.399999999999999
2014-03-05,0,2,1,6.399999999999999
2014-03-06,0,1,0,6.449999999999998
2014-03-07,2,6,2,6.749999999999998
2014-03-08,0,4,2,6.749999999999998
2014-03-10,1,0,0,6.849999999999998
2014-03-11,0,3,0,6.999999999999998
2014-03-12,0,2,2,6.899999999999998
